refdes,method,stream
GA01SUMO-RII11-02-CTDMOQ016,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ016,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ016,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-CTDMOQ017,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ017,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ017,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-CTDMOQ031,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ031,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ031,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-CTDMOQ033,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ033,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOQ033,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-CTDMOR018,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOR018,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOR018,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-CTDMOR019,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOR019,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOR019,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-CTDMOR020,recovered_host,ctdmo_ghqr_imodem_instrument_recovered
GA01SUMO-RII11-02-CTDMOR020,recovered_inst,ctdmo_ghqr_instrument_recovered
GA01SUMO-RII11-02-CTDMOR020,telemetered,ctdmo_ghqr_imodem_instrument
GA01SUMO-RII11-02-DOSTAD031,recovered_host,dosta_abcdjm_ctdbp_p_dcl_instrument_recovered
GA01SUMO-RII11-02-DOSTAD031,telemetered,dosta_abcdjm_ctdbp_p_dcl_instrument
GA01SUMO-RII11-02-DOSTAD032,recovered_host,dosta_abcdjm_ctdbp_p_dcl_instrument_recovered
GA01SUMO-RII11-02-DOSTAD032,telemetered,dosta_abcdjm_ctdbp_p_dcl_instrument
GA01SUMO-RII11-02-DOSTAD033,recovered_host,dosta_abcdjm_ctdbp_p_dcl_instrument_recovered
GA01SUMO-RII11-02-DOSTAD033,telemetered,dosta_abcdjm_ctdbp_p_dcl_instrument
GA01SUMO-RII11-02-FLORDG031,recovered_host,flord_g_ctdbp_p_dcl_instrument_recovered
GA01SUMO-RII11-02-FLORDG031,telemetered,flord_g_ctdbp_p_dcl_instrument
GA01SUMO-RII11-02-FLORDG032,recovered_host,flord_g_ctdbp_p_dcl_instrument_recovered
GA01SUMO-RII11-02-FLORDG032,telemetered,flord_g_ctdbp_p_dcl_instrument
GA01SUMO-RII11-02-FLORDG033,recovered_host,flord_g_ctdbp_p_dcl_instrument_recovered
GA01SUMO-RII11-02-FLORDG033,telemetered,flord_g_ctdbp_p_dcl_instrument
GA01SUMO-RII11-02-PCO2WC051,recovered_host,pco2w_abc_imodem_instrument_blank_recovered
GA01SUMO-RII11-02-PCO2WC051,recovered_host,pco2w_abc_imodem_instrument_recovered
GA01SUMO-RII11-02-PCO2WC051,recovered_inst,pco2w_abc_instrument
CP01CNSM-MFD35-06-PHSEND000,telemetered,phsen_abcdef_dcl_instrument
CP01CNSM-MFD37-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CP01CNSM-MFD37-01-OPTAAD000,telemetered,optaa_dj_dcl_instrument
CP01CNSM-MFD37-03-CTDBPD000,recovered_host,ctdbp_cdef_dcl_instrument_recovered
CP01CNSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered
CP01CNSM-MFD37-03-CTDBPD000,telemetered,ctdbp_cdef_dcl_instrument
CP01CNSM-MFD37-04-DOSTAD000,recovered_host,dosta_abcdjm_dcl_instrument_recovered
CP01CNSM-MFD37-04-DOSTAD000,telemetered,dosta_abcdjm_dcl_instrument
CP01CNSM-RID26-04-VELPTA000,recovered_host,velpt_ab_dcl_instrument_recovered
CP01CNSM-RID26-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
CP01CNSM-RID26-04-VELPTA000,telemetered,velpt_ab_dcl_instrument
CP01CNSM-RID26-06-PHSEND000,recovered_host,phsen_abcdef_dcl_instrument_recovered
CP01CNSM-RID26-06-PHSEND000,recovered_inst,phsen_abcdef_instrument
CP01CNSM-RID26-06-PHSEND000,telemetered,phsen_abcdef_dcl_instrument
CP01CNSM-RID26-07-NUTNRB000,recovered_host,nutnr_b_dcl_dark_full_instrument_recovered
CP01CNSM-RID26-07-NUTNRB000,recovered_host,nutnr_b_dcl_full_instrument_recovered
CP01CNSM-RID26-07-NUTNRB000,recovered_inst,nutnr_b_instrument_recovered
CP01CNSM-RID26-07-NUTNRB000,telemetered,nutnr_b_dcl_conc_instrument
CP01CNSM-RID26-07-NUTNRB000,telemetered,nutnr_b_dcl_dark_conc_instrument
CP01CNSM-RID26-07-NUTNRB000,telemetered,nutnr_b_dcl_dark_full_instrument
CP01CNSM-RID26-07-NUTNRB000,telemetered,nutnr_b_dcl_full_instrument
CP01CNSM-RID26-08-SPKIRB000,recovered_host,spkir_abj_dcl_instrument_recovered
CP01CNSM-RID26-08-SPKIRB000,telemetered,spkir_abj_dcl_instrument
CP01CNSM-RID27-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CP01CNSM-RID27-01-OPTAAD000,telemetered,optaa_dj_dcl_instrument
CP01CNSM-RID27-02-FLORTD000,recovered_host,flort_dj_dcl_instrument_recovered
CP01CNSM-RID27-02-FLORTD000,telemetered,flort_dj_dcl_instrument
CP01CNSM-RID27-03-CTDBPC000,recovered_host,ctdbp_cdef_dcl_instrument_recovered
CP01CNSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered
CP01CNSM-RID27-03-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument
CP01CNSM-RID27-04-DOSTAD000,recovered_host,dosta_abcdjm_dcl_instrument_recovered
